objeto,confidence,x,w,y,h,fecha,hora,cantPersonas
person,0.9926217794418335,173,29,39,63,04/04/24,18:05:17,1
person,0.9911584854125977,38,49,119,71,04/04/24,18:05:17,2
person,0.9880786538124084,231,19,6,53,04/04/24,18:05:17,3
person,0.9791581034660339,249,24,0,50,04/04/24,18:05:17,4
person,0.9785743951797485,60,30,34,54,04/04/24,18:05:17,5
person,0.9754106998443604,427,29,6,57,04/04/24,18:05:17,6
person,0.9713656306266785,360,24,8,43,04/04/24,18:05:17,7
person,0.9712249636650085,135,23,21,58,04/04/24,18:05:17,8
person,0.8895450234413147,330,24,12,50,04/04/24,18:05:17,9
cat,0.6223763823509216,362,35,118,54,04/04/24,18:05:17,9
person,0.6162774562835693,343,21,-1,32,04/04/24,18:05:17,10
person,0.5519289970397949,389,23,5,40,04/04/24,18:05:17,11
person,0.507377028465271,55,17,11,32,04/04/24,18:05:17,12
skateboard,0.501006543636322,55,25,176,21,04/04/24,18:05:17,12
